,sna,tot,sbi,sarea,mday,ar,bemp,act
0,YouBike2.0_捷運科技大樓站,28,1,大安區,2023-05-27 15:19:14,復興南路二段235號前,24,1
1,YouBike2.0_復興南路二段273號前,21,0,大安區,2023-05-27 15:14:04,復興南路二段273號西側,21,1
2,YouBike2.0_國北教大實小東側門,16,1,大安區,2023-05-27 15:19:14,和平東路二段96巷7號,14,1
3,YouBike2.0_和平公園東側,11,1,大安區,2023-05-27 15:16:04,和平東路二段118巷33號,10,1
4,YouBike2.0_辛亥復興路口西北側,16,0,大安區,2023-05-27 15:17:21,復興南路二段368號,16,1
5,YouBike2.0_復興南路二段280號前,11,1,大安區,2023-05-27 14:48:14,復興南路二段280號,10,1
6,YouBike2.0_復興南路二段340巷口,11,0,大安區,2023-05-27 14:24:04,復興南路二段342號,10,1
7,YouBike2.0_新生南路三段52號前,17,1,大安區,2023-05-27 15:19:04,新生南路三段52號,15,1
8,YouBike2.0_新生南路三段66號前,16,1,大安區,2023-05-27 15:19:14,新生南路三段66號東側,15,1
9,YouBike2.0_新生南路三段82號前,20,0,大安區,2023-05-27 15:19:14,新生南路三段82號,19,1
10,YouBike2.0_辛亥路一段30號前,8,2,大安區,2023-05-27 15:10:22,辛亥路一段30號,6,1
11,YouBike2.0_和平復興路口西北側,9,1,大安區,2023-05-27 15:03:04,復興南路二段236號,7,1
13,YouBike2.0_大安運動中心停車場,14,4,大安區,2023-05-27 15:11:16,敦南街76巷28號,10,1
14,YouBike2.0_羅斯福路三段245號前,8,2,大安區,2023-05-27 15:17:31,羅斯福路三段245號,6,1
15,YouBike2.0_溫州公園,5,1,大安區,2023-05-27 15:11:16,羅斯福路三段283巷11號,4,1
16,YouBike2.0_和平臥龍街口,15,4,大安區,2023-05-27 15:19:14,臥龍街1號,11,1
17,YouBike2.0_溫州停車場,5,1,大安區,2023-05-27 15:13:15,新生南路三段54巷/溫州街口,4,1
18,YouBike2.0_銘傳國小側門,7,1,大安區,2023-05-27 15:12:04,羅斯福路四段21號旁天橋下,5,1
